BASE,,
PAPER BASE CARDS,,
1,Dansby Swanson,Arizona Diamondbacks®
2,Yoan Lopez,Arizona Diamondbacks®
3,Bailey Falter,Philadelphia Phillies®
4,Casey Gillaspie,Tampa Bay Rays™
5,Demi Orimoloye,Milwaukee Brewers™
6,Steven Duggar,San Francisco Giants®
7,Tyler Alexander,Detroit Tigers®
8,Courtney Hawkins,Chicago White Sox®
9,Casey Hughston,Pittsburgh Pirates®
10,Kolby Allard,Atlanta Braves™
11,Austin Meadows,Pittsburgh Pirates®
12,Joe McCarthy,Tampa Bay Rays™
13,Tyler Stephenson,Cincinnati Reds®
14,Ashe Russell,Kansas City Royals®
15,Dylan Moore,Texas Rangers®
16,Donnie Dewees,Chicago Cubs®
17,Beau Burrows,Detroit Tigers®
18,Greg Pickett,Philadelphia Phillies®
19,Parker French,Colorado Rockies™
20,Cam Gibson,Detroit Tigers®
21,Braden Bishop,Seattle Mariners™
22,Ryan Kellogg,Chicago Cubs®
23,Monte Harrison,Milwaukee Brewers™
24,Zack Erwin,Chicago White Sox®
25,J.P. Crawford,Philadelphia Phillies®
26,Ryan McMahon,Colorado Rockies™
27,Kyle Holder,New York Yankees®
28,Ian Happ,Chicago Cubs®
29,Anthony Hermelyn,Houston Astros®
30,Jimmy Herget,Cincinnati Reds®
31,Mike Nikorak,Colorado Rockies™
32,Alex Young,Arizona Diamondbacks®
33,Tyler Mark,Arizona Diamondbacks®
34,Trent Clark,Milwaukee Brewers™
35,Benton Moss,Tampa Bay Rays™
36,Matt Withrow,Atlanta Braves™
37,Chris Shaw,San Francisco Giants®
38,Manuel Margot,Boston Red Sox®
39,Lucas Giolito,Washington Nationals®
40,Chase Ingram,New York Mets®
41,Lucas Herbert,Atlanta Braves™
42,Trey Supak,Pittsburgh Pirates®
43,Blake Trahan,Cincinnati Reds®
44,Jeff Degano,New York Yankees®
45,Desmond Lindsay,New York Mets®
46,Walker Buehler,Los Angeles Dodgers®
47,Cody Ponce,Milwaukee Brewers™
48,Adam Brett Walker,Minnesota Twins®
49,Tyler Danish,Chicago White Sox®
50,Dillon Tate,Texas Rangers®
51,Thomas Szapucki,New York Mets®
52,Spencer Adams,Chicago White Sox®
53,Kevin Duchene,Oakland Athletics™
54,Blake Perkins,Washington Nationals®
55,Thomas Eshelman,Houston Astros®
56,Lucas Williams,Philadelphia Phillies®
57,David Fletcher,Angels®
58,James Kaprielian,New York Yankees®
59,Preston Morrison,Chicago Cubs®
60,Ryan Burr,Arizona Diamondbacks®
61,Brett Lilek,Miami Marlins®
62,Trevor Megill,San Diego Padres™
63,Jordy Lara,Seattle Mariners™
64,Kevin Newman,Pittsburgh Pirates®
65,Luis Ortiz,Texas Rangers®
66,Cornelius Randolph,Philadelphia Phillies®
67,Domingo Leyba,Arizona Diamondbacks®
68,Sean Reid-Foley,Toronto Blue Jays®
69,Josh Naylor,Miami Marlins®
70,Michael Matuella,Texas Rangers®
71,Cole Tucker,Pittsburgh Pirates®
72,Kyle Wilcox,Seattle Mariners™
73,Forrest Wall,Colorado Rockies™
74,Alex Jackson,Seattle Mariners™
75,Kyle Tucker,Houston Astros®
76,Hunter Harvey,Baltimore Orioles®
77,Brandon Waddell,Pittsburgh Pirates®
78,Travis Neubeck,Miami Marlins®
79,Ronnie Jebavy,San Francisco Giants®
80,Ryan Mountcastle,Baltimore Orioles®
81,Kyle Zimmer,Kansas City Royals®
82,A.J. Reed,Houston Astros®
83,Alex Reyes,St. Louis Cardinals®
84,Garrett Whitley,Tampa Bay Rays™
85,Derek Hill,Detroit Tigers®
86,Ryan Clark,Atlanta Braves™
87,Andrew Sopko,Los Angeles Dodgers®
88,Breckin Williams,Arizona Diamondbacks®
89,Tate Matheny,Boston Red Sox®
90,Kyle Crick,San Francisco Giants®
91,Andrew Moore,Seattle Mariners™
92,Hutton Moyer,Angels®
93,Jordan Ramsey,Cincinnati Reds®
94,Javier Medina,Colorado Rockies™
95,Jack Wynkoop,Colorado Rockies™
96,Triston McKenzie,Cleveland Indians®
97,Jose De Leon,Los Angeles Dodgers®
98,Justin Cohen,Miami Marlins®
99,Mark Mathias,Cleveland Indians®
100,Julio Urias,Los Angeles Dodgers®
101,Jared Foster,Angels®
102,Roman Quinn,Philadelphia Phillies®
103,Max Wotell,New York Mets®
104,Jake Gatewood,Milwaukee Brewers™
105,Willy Adames,Tampa Bay Rays™
106,Rafael Devers,Boston Red Sox®
107,Blake Snell,Tampa Bay Rays™
108,Cody Poteet,Miami Marlins®
109,Bryce Denton,St. Louis Cardinals®
110,Nolan Watson,Kansas City Royals®
111,Tyler Nevin,Colorado Rockies™
112,Antonio Santillan,Cincinnati Reds®
113,Mac Marshall,San Francisco Giants®
114,Mariano Rivera,Washington Nationals®
115,Grant Hockin,Cleveland Indians®
116,Raul Mondesi,Kansas City Royals®
117,Richie Martin,Oakland Athletics™
118,Carson Fulmer,Chicago White Sox®
119,Mikey White,Oakland Athletics™
120,Lucas Sims,Atlanta Braves™
121,Peter Lambert,Colorado Rockies™
122,Roman Collins,Kansas City Royals®
123,Austin Allen,San Diego Padres™
124,David Thompson,New York Mets®
125,Ka'Ai Tom,Cleveland Indians®
126,Renato Nunez,Oakland Athletics™
127,Zech Lemond,San Diego Padres™
128,Nick Gordon,Minnesota Twins®
129,Phil Bickford,San Francisco Giants®
130,Taylor Ward,Angels®
131,Corey Taylor,New York Mets®
132,Chris Ellis,Angels®
133,Michael Chavis,Boston Red Sox®
134,Cody Jones,Kansas City Royals®
135,Tyrone Taylor,Milwaukee Brewers™
136,Tyler Jay,Minnesota Twins®
137,Ke'Bryan Hayes,Pittsburgh Pirates®
138,Scott Kingery,Philadelphia Phillies®
139,Carl Wise,Toronto Blue Jays®
140,Juan Hillman,Cleveland Indians®
141,Bowdien Derby,Oakland Athletics™
142,D.J. Peterson,Seattle Mariners™
143,Jacob Nix,San Diego Padres™
144,Josh Staumont,Kansas City Royals®
145,Nathan Kirby,Milwaukee Brewers™
146,DJ Stewart,Baltimore Orioles®
147,Matt Hall,Detroit Tigers®
148,Kohl Stewart,Minnesota Twins®
149,Drew Jackson,Seattle Mariners™
150,Aaron Judge,New York Yankees®
151,Nick Plummer,St. Louis Cardinals®
152,David Dahl,Colorado Rockies™
153,Brian Mundell,Colorado Rockies™
154,Bradley Zimmer,Cleveland Indians®
155,Tanner Rainey,Cincinnati Reds®
156,JC Cardenas,Toronto Blue Jays®
157,Austin Riley,Atlanta Braves™
158,Kevin Kramer,Pittsburgh Pirates®
159,Hunter Renfroe,San Diego Padres™
160,Grant Holmes,Los Angeles Dodgers®
161,Isaiah White,Miami Marlins®
162,Justin Jacome,Miami Marlins®
163,Amed Rosario,New York Mets®
164,Josh Bell,Pittsburgh Pirates®
165,Eric Jenkins,Texas Rangers®
166,Reese McGuire,Pittsburgh Pirates®
167,Sean Newcomb,Angels®
168,Reynaldo Lopez,Washington Nationals®
169,Conor Biggio,Houston Astros®
170,Andrew Suarez,San Francisco Giants®
171,Trey Ball,Boston Red Sox®
172,Austin Rei,Boston Red Sox®
173,Drew Finley,New York Yankees®
174,Skye Bolt,Oakland Athletics™
175,Daniel Robertson,Tampa Bay Rays™
176,Avery Romero,Miami Marlins®
177,Jon Harris,Toronto Blue Jays®
178,Christin Stewart,Detroit Tigers®
179,Nelson Rodriguez,Cleveland Indians®
180,Austin Smith,San Diego Padres™
181,Michael Soroka,Atlanta Braves™
182,Andrew Benintendi,Boston Red Sox®
183,Matt Crownover,Washington Nationals®
184,Franklin Barreto,Oakland Athletics™
185,Willie Calhoun,Los Angeles Dodgers®
186,Braxton Davidson,Atlanta Braves™
187,Jake Woodford,St. Louis Cardinals®
188,Ryan McKenna,Baltimore Orioles®
189,Ryan Helsley,St. Louis Cardinals®
190,Carson Sands,Chicago Cubs®
191,Tyler Beede,San Francisco Giants®
192,Jeff Hendrix,New York Yankees®
193,Nick Howard,Cincinnati Reds®
194,Chris Betts,Tampa Bay Rays™
195,Jagger Rusconi,Boston Red Sox®
196,Matt Olson,Oakland Athletics™
197,Jake Cronenworth,Tampa Bay Rays™
198,Alex Robinson,Minnesota Twins®
199,Albert Almora,Chicago Cubs®
200,Brendan Rodgers,Colorado Rockies™
CHROME BASE CARDS,,
1,Dansby Swanson,Arizona Diamondbacks®
2,Yoan Lopez,Arizona Diamondbacks®
3,Bailey Falter,Philadelphia Phillies®
4,Casey Gillaspie,Tampa Bay Rays™
5,Demi Orimoloye,Milwaukee Brewers™
6,Steven Duggar,San Francisco Giants®
7,Tyler Alexander,Detroit Tigers®
8,Courtney Hawkins,Chicago White Sox®
9,Casey Hughston,Pittsburgh Pirates®
10,Kolby Allard,Atlanta Braves™
11,Austin Meadows,Pittsburgh Pirates®
12,Joe McCarthy,Tampa Bay Rays™
13,Tyler Stephenson,Cincinnati Reds®
14,Ashe Russell,Kansas City Royals®
15,Dylan Moore,Texas Rangers®
16,Donnie Dewees,Chicago Cubs®
17,Beau Burrows,Detroit Tigers®
18,Greg Pickett,Philadelphia Phillies®
19,Parker French,Colorado Rockies™
20,Cam Gibson,Detroit Tigers®
21,Braden Bishop,Seattle Mariners™
22,Ryan Kellogg,Chicago Cubs®
23,Monte Harrison,Milwaukee Brewers™
24,Zack Erwin,Chicago White Sox®
25,J.P. Crawford,Philadelphia Phillies®
26,Ryan McMahon,Colorado Rockies™
27,Kyle Holder,New York Yankees®
28,Ian Happ,Chicago Cubs®
29,Anthony Hermelyn,Houston Astros®
30,Jimmy Herget,Cincinnati Reds®
31,Mike Nikorak,Colorado Rockies™
32,Alex Young,Arizona Diamondbacks®
33,Tyler Mark,Arizona Diamondbacks®
34,Trent Clark,Milwaukee Brewers™
35,Benton Moss,Tampa Bay Rays™
36,Matt Withrow,Atlanta Braves™
37,Chris Shaw,San Francisco Giants®
38,Manuel Margot,Boston Red Sox®
39,Lucas Giolito,Washington Nationals®
40,Chase Ingram,New York Mets®
41,Lucas Herbert,Atlanta Braves™
42,Trey Supak,Pittsburgh Pirates®
43,Blake Trahan,Cincinnati Reds®
44,Jeff Degano,New York Yankees®
45,Desmond Lindsay,New York Mets®
46,Walker Buehler,Los Angeles Dodgers®
47,Cody Ponce,Milwaukee Brewers™
48,Adam Brett Walker,Minnesota Twins®
49,Tyler Danish,Chicago White Sox®
50,Dillon Tate,Texas Rangers®
51,Thomas Szapucki,New York Mets®
52,Spencer Adams,Chicago White Sox®
53,Kevin Duchene,Oakland Athletics™
54,Blake Perkins,Washington Nationals®
55,Thomas Eshelman,Houston Astros®
56,Lucas Williams,Philadelphia Phillies®
57,David Fletcher,Angels®
58,James Kaprielian,New York Yankees®
59,Preston Morrison,Chicago Cubs®
60,Ryan Burr,Arizona Diamondbacks®
61,Brett Lilek,Miami Marlins®
62,Trevor Megill,San Diego Padres™
63,Jordy Lara,Seattle Mariners™
64,Kevin Newman,Pittsburgh Pirates®
65,Luis Ortiz,Texas Rangers®
66,Cornelius Randolph,Philadelphia Phillies®
67,Domingo Leyba,Arizona Diamondbacks®
68,Sean Reid-Foley,Toronto Blue Jays®
69,Josh Naylor,Miami Marlins®
70,Michael Matuella,Texas Rangers®
71,Cole Tucker,Pittsburgh Pirates®
72,Kyle Wilcox,Seattle Mariners™
73,Forrest Wall,Colorado Rockies™
74,Alex Jackson,Seattle Mariners™
75,Kyle Tucker,Houston Astros®
76,Hunter Harvey,Baltimore Orioles®
77,Brandon Waddell,Pittsburgh Pirates®
78,Travis Neubeck,Miami Marlins®
79,Ronnie Jebavy,San Francisco Giants®
80,Ryan Mountcastle,Baltimore Orioles®
81,Kyle Zimmer,Kansas City Royals®
82,A.J. Reed,Houston Astros®
83,Alex Reyes,St. Louis Cardinals®
84,Garrett Whitley,Tampa Bay Rays™
85,Derek Hill,Detroit Tigers®
86,Ryan Clark,Atlanta Braves™
87,Andrew Sopko,Los Angeles Dodgers®
88,Breckin Williams,Arizona Diamondbacks®
89,Tate Matheny,Boston Red Sox®
90,Kyle Crick,San Francisco Giants®
91,Andrew Moore,Seattle Mariners™
92,Hutton Moyer,Angels®
93,Jordan Ramsey,Cincinnati Reds®
94,Javier Medina,Colorado Rockies™
95,Jack Wynkoop,Colorado Rockies™
96,Triston McKenzie,Cleveland Indians®
97,Jose De Leon,Los Angeles Dodgers®
98,Justin Cohen,Miami Marlins®
99,Mark Mathias,Cleveland Indians®
100,Julio Urias,Los Angeles Dodgers®
101,Jared Foster,Angels®
102,Roman Quinn,Philadelphia Phillies®
103,Max Wotell,New York Mets®
104,Jake Gatewood,Milwaukee Brewers™
105,Willy Adames,Tampa Bay Rays™
106,Rafael Devers,Boston Red Sox®
107,Blake Snell,Tampa Bay Rays™
108,Cody Poteet,Miami Marlins®
109,Bryce Denton,St. Louis Cardinals®
110,Nolan Watson,Kansas City Royals®
111,Tyler Nevin,Colorado Rockies™
112,Antonio Santillan,Cincinnati Reds®
113,Mac Marshall,San Francisco Giants®
114,Mariano Rivera,Washington Nationals®
115,Grant Hockin,Cleveland Indians®
116,Raul Mondesi,Kansas City Royals®
117,Richie Martin,Oakland Athletics™
118,Carson Fulmer,Chicago White Sox®
119,Mikey White,Oakland Athletics™
120,Lucas Sims,Atlanta Braves™
121,Peter Lambert,Colorado Rockies™
122,Roman Collins,Kansas City Royals®
123,Austin Allen,San Diego Padres™
124,David Thompson,New York Mets®
125,Ka'Ai Tom,Cleveland Indians®
126,Renato Nunez,Oakland Athletics™
127,Zech Lemond,San Diego Padres™
128,Nick Gordon,Minnesota Twins®
129,Phil Bickford,San Francisco Giants®
130,Taylor Ward,Angels®
131,Corey Taylor,New York Mets®
132,Chris Ellis,Angels®
133,Michael Chavis,Boston Red Sox®
134,Cody Jones,Kansas City Royals®
135,Tyrone Taylor,Milwaukee Brewers™
136,Tyler Jay,Minnesota Twins®
137,Ke'Bryan Hayes,Pittsburgh Pirates®
138,Scott Kingery,Philadelphia Phillies®
139,Carl Wise,Toronto Blue Jays®
140,Juan Hillman,Cleveland Indians®
141,Bowdien Derby,Oakland Athletics™
142,D.J. Peterson,Seattle Mariners™
143,Jacob Nix,San Diego Padres™
144,Josh Staumont,Kansas City Royals®
145,Nathan Kirby,Milwaukee Brewers™
146,DJ Stewart,Baltimore Orioles®
147,Matt Hall,Detroit Tigers®
148,Kohl Stewart,Minnesota Twins®
149,Drew Jackson,Seattle Mariners™
150,Aaron Judge,New York Yankees®
