2016 Topps Baseball Series 1,,
"BASE (Cards are in no particular order, and numbers will be added once the winner of Card No. 1 is announced)",,
Jerad Eickhoff,Philadelphia Phillies,Rookie
Richie Shaffer,Tampa Bay Rays,Rookie
Sonny Gray,Oakland Athletics,
Kyle Seager,Seattle Mariners,
Jimmy Paredes,Baltimore Orioles,
Michael Brantley,Cleveland Indians,
Eric Hosmer,Kansas City Royals,
Nelson Cruz,Seattle Mariners,
Andre Ethier,Los Angeles Dodgers,
Nolan Arenado,Colorado Rockies,
Craig Kimbrel,San Diego Padres,
Chris Davis,Baltimore Orioles,
Ryan Howard,Philadelphia Phillies,
Rougned Odor,Texas Rangers,
Billy Butler,Oakland Athletics,
Francisco Rodriguez,Milwaukee Brewers,
Delino DeShields Jr.,Texas Rangers,
Andrew McCutchen,Pittsburgh Pirates,
Mike Moustakas,Kansas City Royals,
John Hicks,Seattle Mariners,Rookie
Jeff Francoeur,Philadelphia Phillies,
Hollywood Production,Los Angeles Dodgers,
Brad Ziegler,Arizona Diamondbacks,
Chris Davis,Baltimore Orioles,League Leaders
Mike Trout,Los Angeles Angels,League Leaders
Nelson Cruz,Seattle Mariners,League Leaders
Bryce Harper,Washington Nationals,
Alec Asher,Philadelphia Phillies,Rookie
Brian McCann,New York Yankees,
Jose Altuve,Houston Astros,League Leaders
Miguel Cabrera,Detroit Tigers,League Leaders
Xander Bogaerts,Boston Red Sox,League Leaders
Yan Gomes,Cleveland Indians,
Travis d'Arnaud,New York Mets,
Zack Greinke,Los Angeles Dodgers,
Edinson Volquez,Kansas City Royals,
Omar Infante,Kansas City Royals,
Luke Hochevar,Kansas City Royals,
Miguel Montero,Chicago Cubs,
C.J. Cron,Los Angeles Angels,
Salvador Perez,Kansas City Royals,
Jed Lowrie,Houston Astros,
Mark Trumbo,Seattle Mariners,
Jedd Gyorko,San Diego Padres,
Josh Harrison,Pittsburgh Pirates,
A.J. Ramos,Miami Marlins,
Noah Syndergaard,New York Mets,
David Freese,Los Angeles Angels,
Ryan Zimmerman,Washington Nationals,
Jhonny Peralta,St. Louis Cardinals,
Gio Gonzalez,Washington Nationals,
J.J. Hoover,Cincinnati Reds,
Ike Davis,Oakland Athletics,
Dustin Garneau,Colorado Rockies,Rookie
Julio Teheran,Atlanta Braves,
George Springer,Houston Astros,

Jung Ho Kang,Pittsburgh Pirates,
Jesus Montero,Seattle Mariners,
Salvador Perez,Kansas City Royals,
Adam Lind,Milwaukee Brewers,
Zack Greinke,Los Angeles Dodgers,League Leaders
Clayton Kershaw,Los Angeles Dodgers,League Leaders
Jake Arrieta,Chicago Cubs,League Leaders
John Lamb,Cincinnati Reds,Rookie
Shelby Miller,Atlanta Braves,
Johnny Cueto,Kansas City Royals,
Trayce Thompson,Chicago White Sox,Rookie
Zach Britton,Baltimore Orioles,
Corey Kluber,Cleveland Indians,
Pittsburgh Pirates,Pittsburgh Pirates,
Kyle Schwarber,Chicago Cubs,Rookie
Matt Harvey,New York Mets,
Odubel Herrera,Philadelphia Phillies,
Anibal Sanchez,Detroit Tigers,
Kendrys Morales,Kansas City Royals,
John Danks,Chicago White Sox,
Chris Young,New York Yankees,
Ketel Marte,Seattle Mariners,Rookie
Troy Tulowitzki,Toronto Blue Jays,
Rusney Castillo,Boston Red Sox,
Glen Perkins,Minnesota Twins,
Clay Buchholz,Boston Red Sox,
Miguel Sano,Minnesota Twins,Rookie
Seattle Mariners,Seattle Mariners,
Carson Smith,Seattle Mariners,
Alexei Ramirez,Chicago White Sox,
Michael Bourn,Atlanta Braves,
Starling Marte,Pittsburgh Pirates,
Mookie Betts,Boston Red Sox,
Corey Seager,Los Angeles Dodgers,Rookie
Wilmer Flores,New York Mets,
Jorge De La Rosa,Colorado Rockies,
Ubaldo Jimenez,Baltimore Orioles,
Edwin Encarnacion,Toronto Blue Jays,
Koji Uehara,Boston Red Sox,
Yasmani Grandal,Los Angeles Dodgers,
Darren O'Day,Baltimore Orioles,
Charlie Blackmon,Colorado Rockies,
Motor City Mashers,Detroit Tigers,
Kole Calhoun,Los Angeles Angels,
Jose Bautista,Toronto Blue Jays,
Ender Inciarte,Arizona Diamondbacks,
Garrett Richards,Los Angeles Angels,
Taijuan Walker,Seattle Mariners,
Justin Turner,Los Angeles Dodgers,
Doug Fister,Washington Nationals,
Trea Turner,Washington Nationals,Rookie
Jeremy Hellickson,Arizona Diamondbacks,
Marcus Semien,Oakland Athletics,
Jordan Walden,St. Louis Cardinals,
Kevin Siegrist,St. Louis Cardinals,
Ben Paulsen,Colorado Rockies,
Henry Owens,Boston Red Sox,Rookie
J.D. Martinez,Detroit Tigers,
Coco Crisp,Oakland Athletics,
Matt Kemp,San Diego Padres,

Aaron Sanchez,Toronto Blue Jays,
Brett Lawrie,Oakland Athletics,
Aaron Harang,Philadelphia Phillies,
Brett Gardner,New York Yankees,
Liam Hendriks,Toronto Blue Jays,
Jose Fernandez,Miami Marlins,
Sean Doolittle,Oakland Athletics,
Alcides Escobar,Kansas City Royals,
Roberto Osuna,Toronto Blue Jays,
Melky Cabrera,Chicago White Sox,
J.P. Howell,Los Angeles Dodgers,
Melvin Upton Jr.,San Diego Padres,
Jake Arrieta,Chicago Cubs,League Leaders
Clayton Kershaw,Los Angeles Dodgers,League Leaders
Zack Greinke,Los Angeles Dodgers,League Leaders
Papi and the Prince,Boston Red Sox,
Zach Lee,Los Angeles Dodgers,Rookie
Eddie Rosario,Minnesota Twins,
Kendall Graveman,Oakland Athletics,
A.J. Pollock,Arizona Diamondbacks,
Adam LaRoche,Chicago White Sox,
Joe Ross,Washington Nationals,
Aaron Nola,Philadelphia Phillies,Rookie
Buster Posey,San Francisco Giants,
Yadier Molina,St. Louis Cardinals,
Colby Rasmus,Houston Astros,
Michael Cuddyer,New York Mets,
Joe Panik,San Francisco Giants,
Francisco Liriano,Pittsburgh Pirates,
Yasiel Puig,Los Angeles Dodgers,
Carlos Carrasco,Cleveland Indians,
Colin Rea,San Diego Padres,Rookie
CC Sabathia,New York Yankees,
Oliver Perez,Houston Astros,
Mike Trout,Los Angeles Angels,
Jose Iglesias,Detroit Tigers,
Jon Niese,New York Mets,
Stephen Piscotty,St. Louis Cardinals,Rookie
Dee Gordon,Miami Marlins,
Yangervis Solarte,San Diego Padres,
Chad Bettis,Colorado Rockies,
Jon Lester,Chicago Cubs,
Kyle Lohse,Milwaukee Brewers,
Jason Hammel,Chicago Cubs,
Hunter Pence,San Francisco Giants,
New York Yankees,New York Yankees,
Cameron Maybin,Atlanta Braves,
Darnell Sweeney,Philadelphia Phillies,Rookie
Henry Urrutia,Baltimore Orioles,
Erick Aybar,Los Angeles Angels,
Chris Sale,Chicago White Sox,
Phil Hughes,Minnesota Twins,
Jose Bautista,Toronto Blue Jays,League Leaders
Josh Donaldson,Toronto Blue Jays,League Leaders
Chris Davis,Baltimore Orioles,League Leaders
Joaquin Benoit,San Diego Padres,
Andrew Heaney,Los Angeles Angels,
Adam Eaton,Chicago White Sox,
Paul Goldschmidt,Arizona Diamondbacks,League Leaders
Anthony Rizzo,Chicago Cubs,League Leaders

Nolan Arenado,Colorado Rockies,League Leaders
Jacoby Ellsbury,New York Yankees,
Nathan Eovaldi,New York Yankees,
Charlie Morton,Pittsburgh Pirates,
New Order,Houston Astros,
Matt Cain,San Francisco Giants,
Carter Capps,Miami Marlins,
Jose Abreu,Chicago White Sox,
Jered Weaver,Los Angeles Angels,
Manny Machado,Baltimore Orioles,
Brandon Phillips,Cincinnati Reds,
Gregor Blanco,San Francisco Giants,
Rob Refsnyder,New York Yankees,Rookie
Jose Peraza,Los Angeles Dodgers,Rookie
Kevin Gausman,Baltimore Orioles,
Minnesota Twins,Minnesota Twins,
Kevin Pillar,Toronto Blue Jays,
Andrelton Simmons,Atlanta Braves,
Travis Jankowski,San Diego Padres,Rookie
Dallas Keuchel,Houston Astros,League Leaders
Sonny Gray,Oakland Athletics,League Leaders
David Price,Toronto Blue Jays,League Leaders
Yasmany Tomas,Arizona Diamondbacks,
Dallas Keuchel,Houston Astros,League Leaders
Collin McHugh,Houston Astros,League Leaders
David Price,Toronto Blue Jays,League Leaders
Greg Bird,New York Yankees,Rookie
Jake McGee,Tampa Bay Rays,
Jeurys Familia,New York Mets,
Brian Johnson,Boston Red Sox,Rookie
John Jaso,Tampa Bay Rays,
Trevor Bauer,Cleveland Indians,
Chase Headley,New York Yankees,
Jason Kipnis,Cleveland Indians,
Hunter Strickland,San Francisco Giants,
Neil Walker,Pittsburgh Pirates,
Oakland Athletics,Oakland Athletics,
Jay Bruce,Cincinnati Reds,
Adam Jones,Baltimore Orioles,
Colorado Rockies,Colorado Rockies,
Aaron Hill,Arizona Diamondbacks,
Mark Teixeira,New York Yankees,
Taylor Jungmann,Milwaukee Brewers,
Alex Gordon,Kansas City Royals,
Maikel Franco,Philadelphia Phillies,
Josh Donaldson,Toronto Blue Jays,
Kurt Suzuki,Minnesota Twins,
Max Scherzer,Washington Nationals,
Mike Zunino,Seattle Mariners,
Nick Ahmed,Arizona Diamondbacks,
Starlin Castro,Chicago Cubs,
Matt Shoemaker,Los Angeles Angels,
Chris Colabello,Toronto Blue Jays,
Adrian Gonzalez,Los Angeles Dodgers,
Logan Forsythe,Tampa Bay Rays,
Lance Lynn,St. Louis Cardinals,
Andrew Miller,New York Yankees,
Hector Olivera,Atlanta Braves,Rookie
Zack Greinke,Los Angeles Dodgers,
Gerrit Cole,Pittsburgh Pirates,

Jake Arrieta,Chicago Cubs,
Ryan LaMarre,Cincinnati Reds,Rookie
Homer Bailey,Cincinnati Reds,
Christian Yelich,Miami Marlins,
Billy Burns,Oakland Athletics,
Scooter Gennett,Milwaukee Brewers,
Brian Ellington,Miami Marlins,Rookie
David Murphy,Los Angeles Angels,
Matt Garza,Milwaukee Brewers,
Jesse Hahn,Oakland Athletics,
Ryan Vogelsong,San Francisco Giants,
Chris Coghlan,Chicago Cubs,
Michael Conforto,New York Mets,Rookie
J.J. Hardy,Baltimore Orioles,
David Robertson,Chicago White Sox,
Blaine Boyer,Minnesota Twins,
Juan Lagares,New York Mets,
Carlos Ruiz,Philadelphia Phillies,
Baltimore Orioles,Baltimore Orioles,
Huston Street,Los Angeles Angels,
Nick Markakis,Atlanta Braves,
Freddie Freeman,Atlanta Braves,
Matt Wisler,Atlanta Braves,
Luke Gregerson,Houston Astros,
Matt Carpenter,St. Louis Cardinals,
Tommy Kahnle,Colorado Rockies,
Dustin Pedroia,Boston Red Sox,
Yunel Escobar,Washington Nationals,
Atlanta Braves,Atlanta Braves,
Carlos Gomez,Houston Astros,
Silvino Bracho,Arizona Diamondbacks,Rookie
Jorge Soler,Chicago Cubs,
Nick Castellanos,Detroit Tigers,
Matt Holliday,St. Louis Cardinals,
Justin Verlander,Detroit Tigers,
C.J. Wilson,Los Angeles Angels,
Jake Marisnick,Houston Astros,
Devon Travis,Toronto Blue Jays,
Paul Goldschmidt,Arizona Diamondbacks,
Ryan Hanigan,Boston Red Sox,
Miguel Cabrera,Detroit Tigers,
Russell Martin,Toronto Blue Jays,
Ervin Santana,Minnesota Twins,
Joc Pederson,Los Angeles Dodgers,
Jake Arrieta,Chicago Cubs,
Luis Severino,New York Yankees,Rookie
Jonathan Papelbon,Washington Nationals,
Chris Heston,San Francisco Giants,
Robinson Cano,Seattle Mariners,
Giancarlo Stanton,Miami Marlins,
Pat Neshek,Houston Astros,
Kevin Kiermaier,Tampa Bay Rays,
Denard Span,Washington Nationals,
New York Mets,New York Mets,
Ryan Goins,Toronto Blue Jays,
Ian Kinsler,Detroit Tigers,
Francisco Cervelli,Pittsburgh Pirates,
Elvis Andrus,Texas Rangers,
Evan Gattis,Houston Astros,
Alex Guerrero,Los Angeles Dodgers,

Brock Holt,Boston Red Sox,
Alex Dickerson,San Diego Padres,Rookie
Scott Feldman,Houston Astros,
Felix Hernandez,Seattle Mariners,
Jon Gray,Colorado Rockies,Rookie
Pablo Sandoval,Boston Red Sox,
Joe Mauer,Minnesota Twins,
Alcides Escobar,Kansas City Royals,
Jake Lamb,Arizona Diamondbacks,
Nick Hundley,Colorado Rockies,
Zack Godley,Arizona Diamondbacks,Rookie
Asdrubal Cabrera,Tampa Bay Rays,
Todd Frazier,Cincinnati Reds,
Hyun-Jin Ryu,Los Angeles Dodgers,
Chicago White Sox,Chicago White Sox,
Jonathan Schoop,Baltimore Orioles,
Yordano Ventura,Kansas City Royals,
Detroit Tigers,Detroit Tigers,
Ryan Braun,Milwaukee Brewers,
Angel Pagan,San Francisco Giants,
Wade Miley,Boston Red Sox,
Houston Astros,Houston Astros,
Steve Pearce,Baltimore Orioles,
Charlie Furbush,Seattle Mariners,
Colby Lewis,Texas Rangers,
Jarrod Saltalamacchia,Arizona Diamondbacks,
Wade Davis,Kansas City Royals,
Brian Dozier,Minnesota Twins,
Shin-Soo Choo,Texas Rangers,
David Wright,New York Mets,
Dariel Alvarez,Baltimore Orioles,Rookie
Curtis Granderson,New York Mets,
Martin Maldonado,Milwaukee Brewers,
Kyle Hendricks,Chicago Cubs,
San Diego Padres,San Diego Padres,
Jake Odorizzi,Tampa Bay Rays,
Jose Altuve,Houston Astros,
Washington Nationals,Washington Nationals,
Adam Wainwright,St. Louis Cardinals,
Jake Peavy,San Francisco Giants,
Hanley Ramirez,Boston Red Sox,
Kelby Tomlinson,San Francisco Giants,Rookie
Jacob deGrom,New York Mets,
Steven Souza Jr.,Tampa Bay Rays,
Kaleb Cowart,Los Angeles Angels,Rookie
Kevin Plawecki,New York Mets,
Anthony Rizzo,Chicago Cubs,
Anthony DeSclafani,Cincinnati Reds,
"Comeback ""Kids""",New York Yankees,
Kris Bryant,Chicago Cubs,
Edward Mujica,Oakland Athletics,
Will Harris,Houston Astros,
Toronto Blue Jays,Toronto Blue Jays,
Keyvius Sampson,Cincinnati Reds,Rookie
Brandon McCarthy,Los Angeles Dodgers,
Mitch Moreland,Texas Rangers,
Mark Melancon,Pittsburgh Pirates,
Nolan Arenado,Colorado Rockies,League Leaders
Bryce Harper,Washington Nationals,League Leaders
Carlos Gonzalez,Colorado Rockies,League Leaders

,Paul Goldschmidt,Arizona Diamondbacks,
,Dee Gordon,Miami Marlins,
,Bryce Harper,Washington Nationals,
,Carlos Santana,Cleveland Indians,
,Clayton Kershaw,Los Angeles Dodgers,
,Victor Martinez,Detroit Tigers,
,Josh Hamilton,Texas Rangers,
,Jayson Werth,Washington Nationals,
,Drew Hutchison,Toronto Blue Jays,
,Jonathan Lucroy,Milwaukee Brewers,
,Yonder Alonso,San Diego Padres,
,Corey Kluber,Cleveland Indians,League Leaders
,Dallas Keuchel,Houston Astros,League Leaders
,Marco Estrada,Toronto Blue Jays,League Leaders
,Jason Grilli,Atlanta Braves,
,Seth Smith,Seattle Mariners,
,Ben Revere,Toronto Blue Jays,
,Chase Utley,Los Angeles Dodgers,
INSERT,,,
BERGER'S BEST,,,
BB-1,Willie Mays,New York Giants,
BB-2,Satchel Paige,St. Louis Browns,
BB-3,Henry Aaron,Milwaukee Braves,
BB-4,Sandy Koufax,Brooklyn Dodgers,
BB-5,Jackie Robinson,Brooklyn Dodgers,
BB-6,Ted Williams,Boston Red Sox,
BB-7,Roger Maris,Cleveland Indians,
BB-8,Roberto Clemente,Pittsburgh Pirates,
BB-9,Willie McCovey,San Francisco Giants,
BB-10,Bill Mazeroski,Pittsburgh Pirates,
BB-11,Roger Maris,New York Yankees,
BB-12,Brooks Robinson,Baltimore Orioles,
BB-13,Whitey Ford,New York Yankees,
BB-14,Hank Aaron,Milwaukee Braves,
BB-15,Jim Palmer,Baltimore Orioles,
BB-16,Steve Carlton,St. Louis Cardinals,
BB-17,Rod Carew,Minnesota Twins,
BB-18,Reggie Jackson,Oakland Athletics,
BB-19,Johnny Bench,Cincinnati Reds,
BB-20,Nolan Ryan,New York Mets,
BB-21,Tom Seaver,New York Mets,
BB-22,Joe Morgan,Cincinnati Reds,
BB-23,Dave Winfield,San Diego Padres,
BB-24,George Brett,Kansas City Royals,
BB-25,Dennis Eckersley,Cleveland Indians,
BB-26,Robin Yount,Milwaukee Brewers,
BB-27,Eddie Murray,Baltimore Orioles,
BB-28,Ozzie Smith,San Diego Padres,
BB-29,Rickey Henderson,Oakland Athletics,
BB-30,Harold Baines,Chicago White Sox,
BB-31,Cal Ripken Jr.,Baltimore Orioles,
BB-32,Tony Gwynn,San Diego Padres,
BB-33,Don Mattingly,New York Yankees,
BB-34,Dwight Gooden,New York Mets,
BB-35,Roger Clemens,Boston Red Sox,
BB-36,Bo Jackson,Kansas City Royals,
BB-37,Wade Boggs,Boston Red Sox,
BB-38,Ken Griffey Jr.,Seattle Mariners,

BB-39,George Brett,Kansas City Royals
BB-40,Frank Thomas,Chicago White Sox
BB-41,Cal Ripken Jr.,Baltimore Orioles
BB-42,Randy Johnson,Seattle Mariners
BB-43,Mike Piazza,Los Angeles Dodgers
BB-44,Barry Larkin,Cincinnati Reds
BB-45,John Smoltz,Atlanta Braves
BB-46,Livan Hernandez,Florida Marlins
BB-47,Alex Rodriguez,Seattle Mariners
BB-48,Josh Hamilton,Tampa Bay Devil RaysTM
BB-49,Miguel Cabrera,Florida Marlins
BB-50,Albert Pujols,St. Louis Cardinals
BB-51,Joe Mauer,Minnesota Twins
BB-52,Robinson Cano,New York Yankees
BB-53,Yadier Molina,St. Louis Cardinals
BB-54,Justin Verlander,Detroit Tigers
BB-55,Hanley Ramirez,Florida Marlins
BB-56,Daisuke Matsuzaka,Boston Red Sox
BB-57,Clayton Kershaw,Los Angeles Dodgers
BB-58,David Price,Tampa Bay Rays
BB-59,Stephen Strasburg,Washington Nationals
BB-60,Mike Trout,Los Angeles Angels
BB-61,Bryce Harper,Washington Nationals
BB-62,Mike Trout,Los Angeles Angels
BB-63,Masahiro Tanaka,New York Yankees
BB-64,Kris Bryant,Chicago Cubs
BB-65,Buster Posey,San Francisco Giants
PERSPECTIVES,,
P-1,Andrew McCutchen,Pittsburgh Pirates
P-2,Adrian Gonzalez,Los Angeles Dodgers
P-3,Robinson Cano,Seattle Mariners
P-4,Bryce Harper,Washington Nationals
P-5,Rusney Castillo,Boston Red Sox
P-6,Byron Buxton,Minnesota Twins
P-7,Yasiel Puig,Los Angeles Dodgers
P-8,Troy Tulowitzki,Toronto Blue Jays
P-9,Jhonny Peralta,St. Louis Cardinals
P-10,Jung Ho Kang,Pittsburgh Pirates
P-11,Kris Bryant,Chicago Cubs
P-12,David Ortiz,Boston Red Sox
P-13,Ichiro,Miami Marlins
P-14,Justin Upton,San Diego Padres
P-15,Yadier Molina,St. Louis Cardinals
P-16,Gregory Polanco,Pittsburgh Pirates
P-17,Evan Longoria,Tampa Bay Rays
P-18,Mark Teixeira,New York Yankees
P-19,Ryan Braun,Milwaukee Brewers
P-20,Ryan Howard,Philadelphia Phillies
P-21,Cal Ripken Jr.,Baltimore Orioles
P-22,Randy Johnson,Arizona Diamondbacks
P-23,Craig Biggio,Houston Astros
TOPPS LASER CARDS,,
TL-1,Mike Trout,Los Angeles Angels
TL-2,Paul Goldschmidt,Arizona Diamondbacks
TL-3,Kyle Schwarber,Chicago Cubs
TL-4,David Ortiz,Boston Red Sox
TL-5,Hanley Ramirez,Boston Red Sox
TL-6,Kris Bryant,Chicago Cubs

TL-7,Jose Abreu,Chicago White Sox
TL-8,Ichiro,Miami Marlins
