2017 TOPPS HERITAGE BASEBALL,,
Base,,
1 DJ LeMahieu,Colorado Rockies,
Joey Votto,Cincinnati Reds,
Daniel Murphy,Washington Nationals,
2 Dustin Pedroia,Boston Red Sox,
Mookie Betts,Boston Red Sox,
Jose Altuve,Houston Astros,
3 Matt Kemp,Atlanta Braves,
Anthony Rizzo,Chicago Cubs,
Nolan Arenado,Colorado Rockies,
4 Edwin Encarnacion,Toronto Blue Jays,
Albert Pujols,Angels,
David Ortiz,Boston Red Sox,
5 Chris Carter,Milwaukee Brewers,
Nolan Arenado,Colorado Rockies,
Kris Bryant,Chicago Cubs,
6 Mark Trumbo,Baltimore Orioles,
Nelson Cruz,Seattle Mariners,
Khris Davis,Oakland Athletics,
7 Kyle Hendricks,Chicago Cubs,
Jon Lester,Chicago Cubs,
Noah Syndergaard,New York Mets,
8 Justin Verlander,Detroit Tigers,
Aaron Sanchez,Toronto Blue Jays,
Masahiro Tanaka,New York Yankees,
9 Max Scherzer,Washington Nationals,
Jake Arrieta,Chicago Cubs,
Jon Lester,Chicago Cubs,
10 Corey Kluber,Cleveland Indians,
J.A. Happ,Toronto Blue Jays,
Rick Porcello,Boston Red Sox,
11 Robbie Ray,Arizona Diamondbacks,
Madison Bumgarner,San Francisco Giants,
Max Scherzer,Washington Nationals,
12 Justin Verlander,Detroit Tigers,
Chris Sale,Chicago White Sox,
Chris Archer,Tampa Bay Rays,
13 Francisco Cervelli,Pittsburgh Pirates,
14 Logan Forsythe,Tampa Bay Rays,
15 Logan Morrison,Tampa Bay Rays,
16 Manny Margot,San Diego Padres,Rookie
Hunter Renfroe,San Diego Padres,Rookie
17 Rougned Odor,Texas Rangers,
18 Nate Jones,Chicago White Sox,
19 Corey Dickerson,Tampa Bay Rays,
20 Adam Jones,Baltimore Orioles,
21 Lonnie Chisenhall,Cleveland Indians,
22 Keon Broxton,Milwaukee Brewers,
23 David Wright,New York Mets,
24 Ryan Schimpf,San Diego Padres,
25 Aaron Hicks,New York Yankees,

26 Howie Kendrick,Philadelphia Phillies,
27,Tampa Bay Rays,Team Card
28 Jorge Soler,Kansas City Royals,
29 Adam Plutko,Cleveland Indians,Rookie
Perci Garner,Cleveland Indians,Rookie
30 Tyler Flowers,Atlanta Braves,
31 Justin Grimm,Chicago Cubs,
32 Jorge Polanco,Minnesota Twins,
33 Jhonny Peralta,St. Louis Cardinals,
34 Ryan Madson,Oakland Athletics,
35 Anthony DeSclafani,Cincinnati Reds,
36 Josh Bell,Pittsburgh Pirates,Rookie
Tyler Glasnow,Pittsburgh Pirates,Rookie
37 Mike Napoli,Cleveland Indians,
38,Philadelphia Phillies,Team Card
39 Yasmany Tomas,Arizona Diamondbacks,
40 Jordan Zimmermann,Detroit Tigers,
41 Melky Cabrera,Chicago White Sox,
42 Austin Brice,Miami Marlins,Rookie
Yefri Pérez,Miami Marlins,Rookie
43 Arodys Vizcaino,Atlanta Braves,
44 Eduardo Nunez,San Francisco Giants,
45 Scott Kazmir,Los Angeles Dodgers,
46 Lucas Duda,New York Mets,
47 Collin McHugh,Houston Astros,
48 Seth Smith,Seattle Mariners,
49 Danny Espinosa,Angels,
50 Denard Span,San Francisco Giants,
51 Derek Norris,Washington Nationals,
52 Welington Castillo,Baltimore Orioles,
53 C.J. Cron,Angels,
54 J.T. Realmuto,Miami Marlins,
55 Josh Phegley,Oakland Athletics,
56 Hernan Perez,Milwaukee Brewers,
57 Cameron Maybin,Angels,
58 Tony Watson,Pittsburgh Pirates,
59 Jose Peraza,Cincinnati Reds,
60 Carl Edwards Jr.,Chicago Cubs,
61 Marco Estrada,Toronto Blue Jays,
62 Nick Markakis,Atlanta Braves,
63 Alex Wilson,Detroit Tigers,
64 Russell Martin,Toronto Blue Jays,
65 Cody Allen,Cleveland Indians,
66 Kyle Hendricks,Chicago Cubs,
67 Sean Doolittle,Oakland Athletics,
68 Yunel Escobar,Angels,
69 Tony Renda,Cincinnati Reds ,Rookie
Wandy Peralta,Cincinnati Reds ,Rookie
70 Gerrit Cole,Pittsburgh Pirates,
71 Pat Neshek,Philadelphia Phillies,
72 Jonathan Villar,Milwaukee Brewers,
73 Nick Hundley,Colorado Rockies,

74 Matt Wieters,Baltimore Orioles,
75 Brandon Finnegan,Cincinnati Reds,
76 Dansby Swanson,Atlanta Braves,Rookie
Rio Ruiz,Atlanta Braves,Rookie
77 Yadier Molina,St. Louis Cardinals,
78 Pedro Baez,Los Angeles Dodgers,
79 Adrian Gonzalez,Los Angeles Dodgers,
80 Eddie Rosario,Minnesota Twins,
81 Adam Rosales,San Diego Padres,
82 Leonys Martin,Seattle Mariners,
83 Grant Dayton,Los Angeles Dodgers,Rookie
Jose De Leon,Los Angeles Dodgers,Rookie
84 Evan Longoria,Tampa Bay Rays,
85 Brett Gardner,New York Yankees,
86 Danny Valencia,Seattle Mariners,
87 Starlin Castro,New York Yankees,
88 Kyle Seager,Seattle Mariners,
89 Wilson Ramos,Tampa Bay Rays,
90 Billy Hamilton,Cincinnati Reds,
91 Jon Lester,Chicago Cubs,
Jake Arrieta,Chicago Cubs,
92 R.A. Dickey,Atlanta Braves,
93 Aaron Nola,Philadelphia Phillies,
94 Francisco Liriano,Toronto Blue Jays,
95 Eduardo Escobar,Minnesota Twins,
96 Gerardo Parra,Colorado Rockies,
97 Javier Baez,Chicago Cubs,
98 Jace Peterson,Atlanta Braves,
99 Christian Bethancourt,San Diego Padres,
100 Adam Wainwright,St. Louis Cardinals,
101 Jose Iglesias,Detroit Tigers,
102 Richie Shaffer,Cincinnati Reds,
103 Miguel Montero,Chicago Cubs,
104 Carlos Santana,Cleveland Indians,
105 Adam Lind,Seattle Mariners,
106 Dexter Fowler,St. Louis Cardinals,
107 Roberto Osuna,Toronto Blue Jays,
108 Seung-Hwan Oh,St. Louis Cardinals,
109 Chris Iannetta,Seattle Mariners,
110 Mallex Smith,Atlanta Braves,
111 Tanner Roark,Washington Nationals,
112 Matt Wisler,Atlanta Braves,
113 Alex Bregman,Houston Astros,Rookie
Yulieski Gurriel,Houston Astros,Rookie
114 Tom Koehler,Miami Marlins,
115 Elvis Andrus,Texas Rangers,
116 Asdrubal Cabrera,New York Mets,
117 Carson Fulmer,Chicago White Sox,Rookie
Yoan Moncada,Chicago White Sox,Rookie
118 Travis Shaw,Milwaukee Brewers,
119 Carlos Beltran,Houston Astros,
120 CC Sabathia,New York Yankees,

121,Jeff Samardzija,San Francisco Giants,,,
122,Brandon Drury,Arizona Diamondbacks,,,
123,Cam Bedrosian,Angels,,,
124,Chad Qualls,Colorado Rockies,,,
125,Steven Wright,Boston Red Sox,,,
126,Matt Duffy,Tampa Bay Rays,,,
127,Juniel Querecuto,Tampa Bay Rays,Rookie,,
,Eddie Gamboa,Tampa Bay Rays,Rookie,,
128,,Minnesota Twins,Team Card,,
129,,Colorado Rockies,Team Card,,
130,Eugenio Suarez,Cincinnati Reds,,,
131,Andre Ethier,Los Angeles Dodgers,,,
132,Cheslor Cuthbert,Kansas City Royals,,,
133,,Arizona Diamondbacks,Team Card,,
134,Angel Pagan,San Francisco Giants,,,
135,Phil Gosselin,Arizona Diamondbacks,,,
136,Ricky Nolasco,Angels,,,
137,Adeiny Hechavarria,Miami Marlins,,,
138,Justin Turner,Los Angeles Dodgers,,,
139,J.A. Happ,Toronto Blue Jays,,,
140,Brock Holt,Boston Red Sox,,,
141,Glen Perkins,Minnesota Twins,,,
142,Byung-Ho Park,Minnesota Twins,,,
143,Marwin Gonzalez,Houston Astros,,,
144,Ryan Zimmerman,Washington Nationals,,,
145,,New York Mets,Team Card,,
146,Stephen Vogt,Oakland Athletics,,,
147,,Chicago White Sox,Team Card,,
148,Clay Buchholz,Philadelphia Phillies,,,
149,,Oakland Athletics,Team Card,,
150,Jung Ho Kang,Pittsburgh Pirates,,,
151,Corey Kluber,Cleveland Indians,World,Series,Highlights
152,Kyle Schwarber,Chicago Cubs,World,Series,Highlights
153,Coco Crisp,Cleveland Indians,World,Series,Highlights
154,Jason Kipnis,Cleveland Indians,World,Series,Highlights
155,Aroldis Chapman,Chicago Cubs,World,Series,Highlights
156,Addison Russell,Chicago Cubs,World,Series,Highlights
157,Ben Zobrist,Chicago Cubs,World,Series,Highlights
158,Chicago Cubs,Chicago Cubs,World,Series,Highlights
159,J.J. Hardy,Baltimore Orioles,,,
160,Anibal Sanchez,Detroit Tigers,,,
161,David Freese,Pittsburgh Pirates,,,
162,Luke Weaver,St. Louis Cardinals,Rookie,,
,Alex Reyes,St. Louis Cardinals,Rookie,,
163,Brett Wallace,San Diego Padres,,,
164,Tyler Chatwood,Colorado Rockies,,,
165,Dustin Molleken,Detroit Tigers,Rookie,,
,JaCoby Jones,Detroit Tigers,Rookie,,
166,Jason Heyward,Chicago Cubs,,,
167,Billy Butler,New York Yankees,,,
168,Brett Lawrie,Chicago White Sox,,,
169,Chad Bettis,Colorado Rockies,,,

170,Andrelton Simmons,Angels,
171,,Chicago Cubs,Team Card
172,Cristhian Adames,Colorado Rockies,
173,Matt Shoemaker,Angels,
174,Chris Capuano,Milwaukee Brewers,
175,Michael Saunders,Toronto Blue Jays,
176,Brandon Phillips,Cincinnati Reds,
177,Gavin Cecchini,New York Mets,Rookie
,Robert Gsellman,New York Mets,Rookie
178,James Shields,Chicago White Sox,
179,James Beresford,Minnesota Twins,Rookie
,Alex Wimmers,Minnesota Twins,Rookie
180,Stephen Piscotty,St. Louis Cardinals,
181,Corey Kluber,Cleveland Indians,
182,Jacoby Ellsbury,New York Yankees,
183,Jose Quintana,Chicago White Sox,
184,Jeanmar Gomez,Philadelphia Phillies,
185,Trayce Thompson,Los Angeles Dodgers,
186,Henry Owens,Boston Red Sox,
187,Chase Utley,Los Angeles Dodgers,
188,Jedd Gyorko,St. Louis Cardinals,
189,,San Francisco Giants,Team Card
190,Tommy Joseph,Philadelphia Phillies,
191,Alexi Amarista,Colorado Rockies,
192,Zack Cozart,Cincinnati Reds,
193,Devon Travis,Toronto Blue Jays,
194,Edwin Jackson,San Diego Padres,
195,Drew Pomeranz,Boston Red Sox,
196,Brandon Crawford,San Francisco Giants,
197,,New York Yankees,Team Card
198,Zack Greinke,Arizona Diamondbacks,
199,Jharel Cotton,Oakland Athletics,Rookie
,Ryon Healy,Oakland Athletics,Rookie
200 Randal Grichuk,,St. Louis Cardinals,
201 Martin Maldonado,,Angels,
202,,Seattle Mariners,Team Card
203 Hunter Dozier,,Kansas City Royals,Rookie
,Matt Strahm,Kansas City Royals,Rookie
204 Tyler Thornburg,,Boston Red Sox,
205,,Cincinnati Reds,Team Card
206 Robbie Grossman,,Minnesota Twins,
207 Chris Tillman,,Baltimore Orioles,
208 Andrew Miller,,Cleveland Indians,
209 Nick Castellanos,,Detroit Tigers,
210 Carlos Rodon,,Chicago White Sox,
211 Jake Barrett,,Arizona Diamondbacks,
212 Kevin Pillar,,Toronto Blue Jays,
213 Jeremy Hellickson,,Philadelphia Phillies,
214 Aaron Judge,,New York Yankees,Rookie
,Tyler Austin,New York Yankees,Rookie
215 Freddy Galvis,,Philadelphia Phillies,
216,,Baltimore Orioles,Team Card

217,Avisail Garcia,Chicago White Sox,
218,Jim Johnson,Atlanta Braves,
219,Pedro Alvarez,Baltimore Orioles,
220,Joe Mauer,Minnesota Twins,
221,,Toronto Blue Jays,Team Card
222,John Jaso,Pittsburgh Pirates,
223,Chris Archer,Tampa Bay Rays,
224,Matt Szczur,Chicago Cubs,
225,Francisco Rodriguez,Detroit Tigers,
226,Jed Lowrie,Oakland Athletics,
227,Steven Souza Jr.,Tampa Bay Rays,
228,Jonathan Lucroy,Texas Rangers,
229,Luke Gregerson,Houston Astros,
230,Adam Duvall,Cincinnati Reds,
231,Matt Garza,Milwaukee Brewers,
232,Michael Conforto,New York Mets,
233,Scott Schebler,Cincinnati Reds,
234,,St. Louis Cardinals,Team Card
235,Melvin Upton Jr.,Toronto Blue Jays,
236,Ryan Vogelsong,Pittsburgh Pirates,
237,Kole Calhoun,Angels,
238,Joe Panik,San Francisco Giants,
239,Salvador Perez,Kansas City Royals,
240,J.D. Martinez,Detroit Tigers,
241,Travis Jankowski,San Diego Padres,
242,James McCann,Detroit Tigers,
243,Byron Buxton,Minnesota Twins,
244,Hanley Ramirez,Boston Red Sox,
245,Tucker Barnhart,Cincinnati Reds,
246,Neil Walker,New York Mets,
247,Odubel Herrera,Philadelphia Phillies,
248,Peter Bourjos,Philadelphia Phillies,
249,Justin Bour,Miami Marlins,
250,Chris Young,Boston Red Sox,
251,Victor Martinez,Detroit Tigers,
252,Ender Inciarte,Atlanta Braves,
253,Lorenzo Cain,Kansas City Royals,
254,Johnny Cueto,San Francisco Giants,
255,Yasmani Grandal,Los Angeles Dodgers,
256,Matt Harvey,New York Mets,
257,,Houston Astros,Team Card
258,Raimel Tapia,Colorado Rockies,Rookie
,David Dahl,Colorado Rockies,Rookie
259,Ken Giles,Houston Astros,
260,Colby Rasmus,Houston Astros,
261,Mitch Moreland,Boston Red Sox,
262,Scooter Gennett,Milwaukee Brewers,
263,Kris Bryant,Chicago Cubs,
,Bryce Harper,Washington Nationals,
264,Joc Pederson,Los Angeles Dodgers,
265,Michael Taylor,Washington Nationals,
266,,Angels,Team Card

267 Orlando Arcia,Milwaukee Brewers,Rookie
Brent Suter,Milwaukee Brewers,Rookie
268 Garrett Richards,Angels,
269 Michael Brantley,Cleveland Indians,
270 Jordy Mercer,Pittsburgh Pirates,
271 Jason Castro,Minnesota Twins,
272 Wei-Yin Chen,Miami Marlins,
273 Chris Owings,Arizona Diamondbacks,
274 Nelson Cruz,Seattle Mariners,
275 Roman Quinn,Philadelphia Phillies,Rookie
Jake Thompson,Philadelphia Phillies,Rookie
276 Paulo Orlando,Kansas City Royals,
277 Jason Motte,Colorado Rockies,
278 Jeurys Familia,New York Mets,
279,Washington Nationals,Team Card
280 Chase Headley,New York Yankees,
281 Brian McCann,Houston Astros,
282 Bartolo Colon,Atlanta Braves,
283,Pittsburgh Pirates,Team Card
284 Alcides Escobar,Kansas City Royals,
285 Tyler Lyons,St. Louis Cardinals,
286 Dellin Betances,New York Yankees,
287 Adrian Beltre,Texas Rangers,
288 Jarrod Dyson,Kansas City Royals,
289,Atlanta Braves,Team Card
290 Brandon Belt,San Francisco Giants,
291 Wily Peralta,Milwaukee Brewers,
292 Carlos Ruiz,Seattle Mariners,
293 Didi Gregorius,New York Yankees,
294 Cesar Hernandez,Philadelphia Phillies,
295 Maikel Franco,Philadelphia Phillies,
296 Jurickson Profar,Texas Rangers,
297 Ezequiel Carrera,Toronto Blue Jays,
298 Ichiro,Miami Marlins,
299 Cliff Pennington,Angels,
300 Nori Aoki,Houston Astros,
301 Martin Prado,Miami Marlins,
302 Khris Davis,Oakland Athletics,
303 Gio Gonzalez,Washington Nationals,
304 Kennys Vargas,Minnesota Twins,
305,Kansas City Royals,Team Card
306 Adam Eaton,Washington Nationals,
307 Yordano Ventura,Kansas City Royals,
308 Marcus Stroman,Toronto Blue Jays,
309 A.J. Ramos,Miami Marlins,
310 Tyler Saladino,Chicago White Sox,
311 Rajai Davis,Cleveland Indians,
312 Darwin Barney,Toronto Blue Jays,
313 Max Kepler,Minnesota Twins,
314 Robby Scott,Boston Red Sox,Rookie
Andrew Benintendi,Boston Red Sox,Rookie
315,Detroit Tigers,Team Card

316,Kendrys Morales,Toronto Blue Jays,,,,
317,Andrew Romine,Detroit Tigers,,,,
318,Rick Porcello,Boston Red Sox,,,,
319,Brian Goodwin,Washington Nationals,Rookie,,,
,Spencer Kieboom,Washington Nationals,Rookie,,,
320 Jayson Werth,,Washington Nationals,,,,
321 Evan Gattis,,Houston Astros,,,,
322 Jonathan Schoop,,Baltimore Orioles,,,,
323,,Los Angeles Dodgers,Team Card,,,
324 Chris Carter,,Milwaukee Brewers,,,,
325 Chris Davis,,Baltimore Orioles,,,,
326 Ben Zobrist,,Chicago Cubs,,,,
327 Hisashi Iwakuma,,Seattle Mariners,,,,
328 Ketel Marte,,Arizona Diamondbacks,,,,
329 Brad Miller,,Tampa Bay Rays,,,,
330 Matt Holliday,,New York Yankees,,,,
331 Joe Musgrove,,Houston Astros,,,,
332 Jose Reyes,,New York Mets,,,,
333 John Lackey,,Chicago Cubs,,,,
334 Justin Smoak,,Toronto Blue Jays,,,,
335 Carlos Gomez,,Texas Rangers,,,,
336 DJ LeMahieu,,Colorado Rockies,,,,
,Charlie Blackmon,Colorado Rockies,,,,
337 Ervin Santana,,Minnesota Twins,,,,
338 Ryan Rua,,Texas Rangers,,,,
339 Alex Gordon,,Kansas City Royals,,,,
340 Jose Ramirez,,Cleveland Indians,,,,
341 Patrick Corbin,,Arizona Diamondbacks,,,,
342 Curtis Granderson,,New York Mets,,,,
343 Marcus Semien,,Oakland Athletics,,,,
344 Kolten Wong,,St. Louis Cardinals,,,,
345 Jarred Cosart,,San Diego Padres,,,,
346 Craig Kimbrel,,Boston Red Sox,,,,
347,,Miami Marlins,Team Card,,,
348 Julio Teheran,,Atlanta Braves,,,,
349 Jake McGee,,Colorado Rockies,,,,
350 David Robertson,,Chicago White Sox,,,,
351 Michael Bourn,,Baltimore Orioles,,,,
352 Kevin Kiermaier,,Tampa Bay Rays,,,,
353 Zach Britton,,Baltimore Orioles,,,,
354 Sandy Leon,,Boston Red Sox,,,,
355 Anthony Rendon,,Washington Nationals,,,,
356 Huston Street,,Angels,,,,
357 Mark Reynolds,,Colorado Rockies,,,,
358,,San Diego Padres,Team Card,,,
359 Sonny Gray,,Oakland Athletics,,,,
360 Tyler Collins,,Detroit Tigers,,,,
361 David Ortiz,,Boston Red Sox,Topps,News,All,Stars
362 Mookie Betts,,Boston Red Sox,Topps,News,All,Stars
363 Mike Trout,,Angels,Topps,News,All,Stars
364 Miguel Cabrera,,Detroit Tigers,Topps,News,All,Stars
365 Josh Donaldson,,Toronto Blue Jays,Topps,News,All,Stars

366,Carlos Correa,Houston Astros,Topps,News,All,Stars
367,Corey Seager,Los Angeles Dodgers,Topps,News,All,Stars
368,Manny Machado,Baltimore Orioles,Topps,News,All,Stars
369,Robinson Cano,Seattle Mariners,Topps,News,All,Stars
370,Jose Altuve,Houston Astros,Topps,News,All,Stars
371,Kris Bryant,Chicago Cubs,Topps,News,All,Stars
372,Anthony Rizzo,Chicago Cubs,Topps,News,All,Stars
373,Nolan Arenado,Colorado Rockies,Topps,News,All,Stars
374,Clayton Kershaw,Los Angeles Dodgers,Topps,News,All,Stars
375,Buster Posey,San Francisco Giants,Topps,News,All,Stars
376,Madison Bumgarner,San Francisco Giants,Topps,News,All,Stars
377,Bryce Harper,Washington Nationals,Topps,News,All,Stars
378,Max Scherzer,Washington Nationals,Topps,News,All,Stars
379,Noah Syndergaard,New York Mets,Topps,News,All,Stars
380,Corey Kluber,Cleveland Indians,Topps,News,All,Stars
381,Matt Carpenter,St. Louis Cardinals,,,,
382,,Boston Red Sox,Team Card,,,
383,Robbie Ray,Arizona Diamondbacks,,,,
384,Braden Shipley,Arizona Diamondbacks,Rookie,,,
,Matt Koch,Arizona Diamondbacks,Rookie,,,
385,,Cleveland Indians,Team Card,,,
386,A.J. Pollock,Arizona Diamondbacks,,,,
387,Mike Moustakas,Kansas City Royals,,,,
388,Yonder Alonso,Oakland Athletics,,,,
389,DJ LeMahieu,Colorado Rockies,,,,
390,Josh Harrison,Pittsburgh Pirates,,,,
391,Matt Moore,San Francisco Giants,,,,
