Card Set,Number,Player,Team
Base,BD-1,Adley Rutschman,Baltimore Orioles
Base,BD-2,Jarred Kelenic,Seattle Mariners
Base,BD-3,Alek Manoah,Toronto Blue Jays
Base,BD-4,Grant McCray,San Francisco Giants
Base,BD-5,Brock Deatherage,Detroit Tigers
Base,BD-6,Matt Wallner,Minnesota Twins
Base,BD-7,Josh Jung,Texas Rangers
Base,BD-8,Andres Gimenez,New York Mets
Base,BD-9,Jackson Kowar,Kansas City Royals
Base,BD-10,Logan Davidson,Oakland Athletics
Base,BD-11,Isaiah Campbell,Seattle Mariners
Base,BD-12,Blake Walston,Arizona Diamondbacks
Base,BD-13,Izzy Wilson,Tampa Bay Rays
Base,BD-14,Yordys Valdes,Cleveland Indians
Base,BD-15,Alec Marsh,Kansas City Royals
Base,BD-16,Ryan Zeferjahn,Boston Red Sox
Base,BD-17,Brady McConnell,Kansas City Royals
Base,BD-18,Jordan Groshans,Toronto Blue Jays
Base,BD-19,Sammy Siani,Pittsburgh Pirates
Base,BD-20,Kristian Robinson,Arizona Diamondbacks
Base,BD-21,Eric Pardinho,Toronto Blue Jays
Base,BD-22,Gunnar Henderson,Baltimore Orioles
Base,BD-23,Joseph Ortiz,Baltimore Orioles
Base,BD-24,Justin Slaten,Texas Rangers
Base,BD-25,Drew Waters,Atlanta Braves
Base,BD-26,Cal Mitchell,Pittsburgh Pirates
Base,BD-27,Daniel Espino,Cleveland Indians
Base,BD-28,Ethan Small,Milwaukee Brewers
Base,BD-29,Logan Wyatt,San Francisco Giants
Base,BD-30,Estevan Florial,New York Yankees
Base,BD-31,Hunter Bishop,San Francisco Giants
Base,BD-32,Thomas Dillard,Milwaukee Brewers
Base,BD-33,D.L. Hall,Baltimore Orioles
Base,BD-34,T.J. Sikkema,New York Yankees
Base,BD-35,Dominic Fletcher,Arizona Diamondbacks
Base,BD-36,Antoine Kelly,Milwaukee Brewers
Base,BD-37,Albert Abreu,New York Yankees
Base,BD-38,Mateo Gil,St. Louis Cardinals
Base,BD-39,Brett Baty,New York Mets
Base,BD-40,Brandon Lewis,Los Angeles Dodgers
Base,BD-41,Jamari Baylor,Philadelphia Phillies
Base,BD-42,Nolan Gorman,St. Louis Cardinals
Base,BD-43,Jack Little,Los Angeles Dodgers
Base,BD-44,Quinn Priester,Pittsburgh Pirates
Base,BD-45,Freudis Nova,Houston Astros
Base,BD-46,Royce Lewis,Minnesota Twins
Base,BD-47,Tyler Callihan,Cincinnati Reds
Base,BD-48,Matthew Allan,New York Mets
Base,BD-49,Will Stewart,Miami Marlins
Base,BD-50,Riley Greene,Detroit Tigers
Base,BD-51,Ethan Hankins,Cleveland Indians
Base,BD-52,Derian Cruz,Atlanta Braves
Base,BD-53,Andre Pallante,St. Louis Cardinals
Base,BD-54,Dane Dunning,Chicago White Sox
Base,BD-55,Matt Mercer,Arizona Diamondbacks
Base,BD-56,Chris Murphy,Boston Red Sox
Base,BD-57,Michael Busch,Los Angeles Dodgers
Base,BD-58,James Beard,Chicago White Sox
Base,BD-59,Braden Shewmake,Atlanta Braves
Base,BD-60,Julio Rodriguez,Seattle Mariners
Base,BD-61,JJ Goss,Tampa Bay Rays
Base,BD-62,Ronny Mauricio,New York Mets
Base,BD-63,Dasan Brown,Toronto Blue Jays
Base,BD-64,Michael Toglia,Colorado Rockies
Base,BD-65,Keoni Cavaco,Minnesota Twins
Base,BD-66,Greg Jones,Tampa Bay Rays
Base,BD-67,Shea Langeliers,Atlanta Braves
Base,BD-68,Evan Fitterer,Miami Marlins
Base,BD-69,Hudson Head,San Diego Padres
Base,BD-70,Tony Locey,St. Louis Cardinals
Base,BD-71,Julio Pablo Martinez,Texas Rangers
Base,BD-72,Jake Agnos,New York Yankees
Base,BD-73,Matt Gorski,Pittsburgh Pirates
Base,BD-74,Peyton Burdick,Miami Marlins
Base,BD-75,Brewer Hicklen,Kansas City Royals
Base,BD-76,Kyle Stowers,Baltimore Orioles
Base,BD-77,Erik Rivera,Los Angeles Angels
Base,BD-78,Leonardo Jimenez,Toronto Blue Jays
Base,BD-79,Bryson Stott,Philadelphia Phillies
Base,BD-80,Cristian Santana,Los Angeles Dodgers
Base,BD-81,Davis Wendzel,Texas Rangers
Base,BD-82,Jake Sanford,New York Yankees
Base,BD-83,Casey Golden,Colorado Rockies
Base,BD-84,Tirso Ornelas,San Diego Padres
Base,BD-85,CJ Abrams,San Diego Padres
Base,BD-86,Josh Smith,New York Yankees
Base,BD-87,Triston Casas,Boston Red Sox
Base,BD-88,Victor Victor Mesa,Miami Marlins
Base,BD-89,Sixto Sanchez,Miami Marlins
Base,BD-90,Seth Johnson,Tampa Bay Rays
Base,BD-91,Ryan Jensen,Chicago Cubs
Base,BD-92,Tim Tebow,New York Mets
Base,BD-93,Wander Franco,Tampa Bay Rays
Base,BD-94,Matthew Thompson,Chicago White Sox
Base,BD-95,Jake Mangum,New York Mets
Base,BD-96,Jake Guenther,Tampa Bay Rays
Base,BD-97,Jonathan India,Cincinnati Reds
Base,BD-98,Jack Kochanowicz,Los Angeles Angels
Base,BD-99,Noah Song,Boston Red Sox
Base,BD-100,Andrew Vaughn,Chicago White Sox
Base,BD-101,Anthony Prato,Minnesota Twins
Base,BD-102,Domingo Acevedo,New York Yankees
Base,BD-103,MacKenzie Gore,San Diego Padres
Base,BD-104,Zack Thompson,St. Louis Cardinals
Base,BD-105,Nick Quintana,Detroit Tigers
Base,BD-106,Kyle Isbel,Kansas City Royals
Base,BD-107,Ryan Weathers,San Diego Padres
Base,BD-108,Andre Lipcius,Detroit Tigers
Base,BD-109,Tyler Baum,Oakland Athletics
Base,BD-110,Conner Capel,St. Louis Cardinals
Base,BD-111,Michael Massey,Kansas City Royals
Base,BD-112,Diosbel Arias,Texas Rangers
Base,BD-113,Brandon Williamson,Seattle Mariners
Base,BD-114,Jeter Downs,Los Angeles Dodgers
Base,BD-115,George Kirby,Seattle Mariners
Base,BD-116,Graeme Stinson,Tampa Bay Rays
Base,BD-117,Brent Rooker,Minnesota Twins
Base,BD-118,Eric Yang,Cincinnati Reds
Base,BD-119,Josh Wolf,New York Mets
Base,BD-120,Andrew Schultz,Philadelphia Phillies
Base,BD-121,Grayson Rodriguez,Baltimore Orioles
Base,BD-122,MJ Melendez,Kansas City Royals
Base,BD-123,Bryant Packard,Detroit Tigers
Base,BD-124,Aramis Ademan,Chicago Cubs
Base,BD-125,Corbin Carroll,Arizona Diamondbacks
Base,BD-126,Kyle McCann,Oakland Athletics
Base,BD-127,Matthew Liberatore,Tampa Bay Rays
Base,BD-128,Beau Philip,Atlanta Braves
Base,BD-129,Aaron Schunk,Colorado Rockies
Base,BD-130,Brice Turang,Milwaukee Brewers
Base,BD-131,Rece Hinds,Cincinnati Reds
Base,BD-132,Jimmy Lewis,Los Angeles Dodgers
Base,BD-133,Will Robertson,Toronto Blue Jays
Base,BD-134,Joey Bart,San Francisco Giants
Base,BD-135,Miguel Amaya,Chicago Cubs
Base,BD-136,Jonathan Ornelas,Texas Rangers
Base,BD-137,Vince Fernandez,Colorado Rockies
Base,BD-138,Grant Gambrell,Kansas City Royals
Base,BD-139,Matthew Lugo,Boston Red Sox
Base,BD-140,Korey Lee,Houston Astros
Base,BD-141,Nasim Nunez,Miami Marlins
Base,BD-142,Denyi Reyes,Boston Red Sox
Base,BD-143,Moises Gomez,Tampa Bay Rays
Base,BD-144,John Rave,Kansas City Royals
Base,BD-145,Grae Kessinger,Houston Astros
Base,BD-146,Isiah Gilliam,New York Yankees
Base,BD-147,Ryne Nelson,Arizona Diamondbacks
Base,BD-148,Ryan Garcia,Texas Rangers
Base,BD-149,Matt Canterino,Minnesota Twins
Base,BD-150,J.J. Bleday,Miami Marlins
Base,BD-151,Ryan Costello,Minnesota Twins
Base,BD-152,Tyler Fitzgerald,San Francisco Giants
Base,BD-153,Spencer Steer,Minnesota Twins
Base,BD-154,Jose Devers,Miami Marlins
Base,BD-155,Blaze Alexander,Arizona Diamondbacks
Base,BD-156,John Doxakis,Tampa Bay Rays
Base,BD-157,Armani Smith,San Francisco Giants
Base,BD-158,Jordyn Adams,Los Angeles Angels
Base,BD-159,Sean Hjelle,San Francisco Giants
Base,BD-160,Cristian Javier,Houston Astros
Base,BD-161,Jared Triolo,Pittsburgh Pirates
Base,BD-162,Alec Bohm,Philadelphia Phillies
Base,BD-163,Jahmai Jones,Los Angeles Angels
Base,BD-164,Deivi Garcia,New York Yankees
Base,BD-165,Brennan Malone,Arizona Diamondbacks
Base,BD-166,Cameron Cannon,Boston Red Sox
Base,BD-167,Glenallen Hill Jr.,Arizona Diamondbacks
Base,BD-168,Evan Edwards,Miami Marlins
Base,BD-169,Shervyen Newton,New York Mets
Base,BD-170,Travis Swaggerty,Pittsburgh Pirates
Base,BD-171,Anthony Seigler,New York Yankees
Base,BD-172,Evan White,Seattle Mariners
Base,BD-173,Luken Baker,St. Louis Cardinals
Base,BD-174,Trejyn Fletcher,St. Louis Cardinals
Base,BD-175,Spencer Brickhouse,Arizona Diamondbacks
Base,BD-176,Daulton Varsho,Arizona Diamondbacks
Base,BD-177,Hayden Wesneski,New York Yankees
Base,BD-178,Chase Strumpf,Chicago Cubs
Base,BD-179,Logan Gilbert,Seattle Mariners
Base,BD-180,Joshua Mears,San Diego Padres
Base,BD-181,Matt Vierling,Philadelphia Phillies
Base,BD-182,Will Wilson,Los Angeles Angels
Base,BD-183,Logan Driscoll,San Diego Padres
Base,BD-184,Tyler Freeman,Cleveland Indians
Base,BD-185,Ian Anderson,Atlanta Braves
Base,BD-186,Owen Miller,San Diego Padres
Base,BD-187,Kody Hoese,Los Angeles Dodgers
Base,BD-188,Grant Lavigne,Colorado Rockies
Base,BD-189,Nick Lodolo,Cincinnati Reds
Base,BD-190,Clarke Schmidt,New York Yankees
Base,BD-191,Erik Miller,Philadelphia Phillies
Base,BD-192,Seth Beer,Arizona Diamondbacks
Base,BD-193,Alejandro Kirk,Toronto Blue Jays
Base,BD-194,Drey Jameson,Arizona Diamondbacks
Base,BD-195,Christian Cairo,Cleveland Indians
Base,BD-196,Kameron Misner,Miami Marlins
Base,BD-197,Tommy Henry,Arizona Diamondbacks
Base,BD-198,Lazaro Armenteros,Oakland Athletics
Base,BD-199,Kendall Williams,Toronto Blue Jays
Base,BD-200,Cooper Johnson,Detroit Tigers
Chrome,BDC-1,Adley Rutschman,Baltimore Orioles
Chrome,BDC-2,Jarred Kelenic,Seattle Mariners
Chrome,BDC-3,Alek Manoah,Toronto Blue Jays
Chrome,BDC-4,Grant McCray,San Francisco Giants
Chrome,BDC-5,Brock Deatherage,Detroit Tigers
Chrome,BDC-6,Matt Wallner,Minnesota Twins
Chrome,BDC-7,Josh Jung,Texas Rangers
Chrome,BDC-8,Andres Gimenez,New York Mets
Chrome,BDC-9,Jackson Kowar,Kansas City Royals
Chrome,BDC-10,Logan Davidson,Oakland Athletics
Chrome,BDC-11,Isaiah Campbell,Seattle Mariners
Chrome,BDC-12,Blake Walston,Arizona Diamondbacks
Chrome,BDC-13,Izzy Wilson,Tampa Bay Rays
Chrome,BDC-14,Yordys Valdes,Cleveland Indians
Chrome,BDC-15,Alec Marsh,Kansas City Royals
Chrome,BDC-16,Ryan Zeferjahn,Boston Red Sox
Chrome,BDC-17,Brady McConnell,Kansas City Royals
Chrome,BDC-18,Jordan Groshans,Toronto Blue Jays
Chrome,BDC-19,Sammy Siani,Pittsburgh Pirates
Chrome,BDC-20,Kristian Robinson,Arizona Diamondbacks
Chrome,BDC-21,Eric Pardinho,Toronto Blue Jays
Chrome,BDC-22,Gunnar Henderson,Baltimore Orioles
Chrome,BDC-23,Joseph Ortiz,Baltimore Orioles
Chrome,BDC-24,Justin Slaten,Texas Rangers
Chrome,BDC-25,Drew Waters,Atlanta Braves
Chrome,BDC-26,Cal Mitchell,Pittsburgh Pirates
Chrome,BDC-27,Daniel Espino,Cleveland Indians
Chrome,BDC-28,Ethan Small,Milwaukee Brewers
Chrome,BDC-29,Logan Wyatt,San Francisco Giants
Chrome,BDC-30,Estevan Florial,New York Yankees
Chrome,BDC-31,Hunter Bishop,San Francisco Giants
Chrome,BDC-32,Thomas Dillard,Milwaukee Brewers
Chrome,BDC-33,D.L. Hall,Baltimore Orioles
Chrome,BDC-34,T.J. Sikkema,New York Yankees
Chrome,BDC-35,Dominic Fletcher,Arizona Diamondbacks
Chrome,BDC-36,Antoine Kelly,Milwaukee Brewers
Chrome,BDC-37,Albert Abreu,New York Yankees
Chrome,BDC-38,Mateo Gil,St. Louis Cardinals
Chrome,BDC-39,Brett Baty,New York Mets
Chrome,BDC-40,Brandon Lewis,Los Angeles Dodgers
Chrome,BDC-41,Jamari Baylor,Philadelphia Phillies
Chrome,BDC-42,Nolan Gorman,St. Louis Cardinals
Chrome,BDC-43,Jack Little,Los Angeles Dodgers
Chrome,BDC-44,Quinn Priester,Pittsburgh Pirates
Chrome,BDC-45,Freudis Nova,Houston Astros
Chrome,BDC-46,Royce Lewis,Minnesota Twins
Chrome,BDC-47,Tyler Callihan,Cincinnati Reds
Chrome,BDC-48,Matthew Allan,New York Mets
Chrome,BDC-49,Will Stewart,Miami Marlins
Chrome,BDC-50,Riley Greene,Detroit Tigers
Chrome,BDC-51,Ethan Hankins,Cleveland Indians
Chrome,BDC-52,Derian Cruz,Atlanta Braves
Chrome,BDC-53,Andre Pallante,St. Louis Cardinals
Chrome,BDC-54,Dane Dunning,Chicago White Sox
Chrome,BDC-55,Matt Mercer,Arizona Diamondbacks
Chrome,BDC-56,Chris Murphy,Boston Red Sox
Chrome,BDC-57,Michael Busch,Los Angeles Dodgers
Chrome,BDC-58,James Beard,Chicago White Sox
Chrome,BDC-59,Braden Shewmake,Atlanta Braves
Chrome,BDC-60,Julio Rodriguez,Seattle Mariners
Chrome,BDC-61,JJ Goss,Tampa Bay Rays
Chrome,BDC-62,Ronny Mauricio,New York Mets
Chrome,BDC-63,Dasan Brown,Toronto Blue Jays
Chrome,BDC-64,Michael Toglia,Colorado Rockies
Chrome,BDC-65,Keoni Cavaco,Minnesota Twins
Chrome,BDC-66,Greg Jones,Tampa Bay Rays
Chrome,BDC-67,Shea Langeliers,Atlanta Braves
Chrome,BDC-68,Evan Fitterer,Miami Marlins
Chrome,BDC-69,Hudson Head,San Diego Padres
Chrome,BDC-70,Tony Locey,St. Louis Cardinals
Chrome,BDC-71,Julio Pablo Martinez,Texas Rangers
Chrome,BDC-72,Jake Agnos,New York Yankees
Chrome,BDC-73,Matt Gorski,Pittsburgh Pirates
Chrome,BDC-74,Peyton Burdick,Miami Marlins
Chrome,BDC-75,Brewer Hicklen,Kansas City Royals
Chrome,BDC-76,Kyle Stowers,Baltimore Orioles
Chrome,BDC-77,Erik Rivera,Los Angeles Angels
Chrome,BDC-78,Leonardo Jimenez,Toronto Blue Jays
Chrome,BDC-79,Bryson Stott,Philadelphia Phillies
Chrome,BDC-80,Cristian Santana,Los Angeles Dodgers
Chrome,BDC-81,Davis Wendzel,Texas Rangers
Chrome,BDC-82,Jake Sanford,New York Yankees
Chrome,BDC-83,Casey Golden,Colorado Rockies
Chrome,BDC-84,Tirso Ornelas,San Diego Padres
Chrome,BDC-85,CJ Abrams,San Diego Padres
Chrome,BDC-86,Josh Smith,New York Yankees
Chrome,BDC-87,Triston Casas,Boston Red Sox
Chrome,BDC-88,Victor Victor Mesa,Miami Marlins
Chrome,BDC-89,Sixto Sanchez,Miami Marlins
Chrome,BDC-90,Seth Johnson,Tampa Bay Rays
Chrome,BDC-91,Ryan Jensen,Chicago Cubs
Chrome,BDC-92,Tim Tebow,New York Mets
Chrome,BDC-93,Wander Franco,Tampa Bay Rays
Chrome,BDC-94,Matthew Thompson,Chicago White Sox
Chrome,BDC-95,Jake Mangum,New York Mets
Chrome,BDC-96,Jake Guenther,Tampa Bay Rays
Chrome,BDC-97,Jonathan India,Cincinnati Reds
Chrome,BDC-98,Jack Kochanowicz,Los Angeles Angels
Chrome,BDC-99,Noah Song,Boston Red Sox
Chrome,BDC-100,Andrew Vaughn,Chicago White Sox
Chrome,BDC-101,Anthony Prato,Minnesota Twins
Chrome,BDC-102,Domingo Acevedo,New York Yankees
Chrome,BDC-103,MacKenzie Gore,San Diego Padres
Chrome,BDC-104,Zack Thompson,St. Louis Cardinals
Chrome,BDC-105,Nick Quintana,Detroit Tigers
Chrome,BDC-106,Kyle Isbel,Kansas City Royals
Chrome,BDC-107,Ryan Weathers,San Diego Padres
Chrome,BDC-108,Andre Lipcius,Detroit Tigers
Chrome,BDC-109,Tyler Baum,Oakland Athletics
Chrome,BDC-110,Conner Capel,St. Louis Cardinals
Chrome,BDC-111,Michael Massey,Kansas City Royals
Chrome,BDC-112,Diosbel Arias,Texas Rangers
Chrome,BDC-113,Brandon Williamson,Seattle Mariners
Chrome,BDC-114,Jeter Downs,Los Angeles Dodgers
Chrome,BDC-115,George Kirby,Seattle Mariners
Chrome,BDC-116,Graeme Stinson,Tampa Bay Rays
Chrome,BDC-117,Brent Rooker,Minnesota Twins
Chrome,BDC-118,Eric Yang,Cincinnati Reds
Chrome,BDC-119,Josh Wolf,New York Mets
Chrome,BDC-120,Andrew Schultz,Philadelphia Phillies
Chrome,BDC-121,Grayson Rodriguez,Baltimore Orioles
Chrome,BDC-122,MJ Melendez,Kansas City Royals
Chrome,BDC-123,Bryant Packard,Detroit Tigers
Chrome,BDC-124,Aramis Ademan,Chicago Cubs
Chrome,BDC-125,Corbin Carroll,Arizona Diamondbacks
Chrome,BDC-126,Kyle McCann,Oakland Athletics
Chrome,BDC-127,Matthew Liberatore,Tampa Bay Rays
Chrome,BDC-128,Beau Philip,Atlanta Braves
Chrome,BDC-129,Aaron Schunk,Colorado Rockies
Chrome,BDC-130,Brice Turang,Milwaukee Brewers
Chrome,BDC-131,Rece Hinds,Cincinnati Reds
Chrome,BDC-132,Jimmy Lewis,Los Angeles Dodgers
Chrome,BDC-133,Will Robertson,Toronto Blue Jays
Chrome,BDC-134,Joey Bart,San Francisco Giants
Chrome,BDC-135,Miguel Amaya,Chicago Cubs
Chrome,BDC-136,Jonathan Ornelas,Texas Rangers
Chrome,BDC-137,Vince Fernandez,Colorado Rockies
Chrome,BDC-138,Grant Gambrell,Kansas City Royals
Chrome,BDC-139,Matthew Lugo,Boston Red Sox
Chrome,BDC-140,Korey Lee,Houston Astros
Chrome,BDC-141,Nasim Nunez,Miami Marlins
Chrome,BDC-142,Denyi Reyes,Boston Red Sox
Chrome,BDC-143,Moises Gomez,Tampa Bay Rays
Chrome,BDC-144,John Rave,Kansas City Royals
Chrome,BDC-145,Grae Kessinger,Houston Astros
Chrome,BDC-146,Isiah Gilliam,New York Yankees
Chrome,BDC-147,Ryne Nelson,Arizona Diamondbacks
Chrome,BDC-148,Ryan Garcia,Texas Rangers
Chrome,BDC-149,Matt Canterino,Minnesota Twins
Chrome,BDC-150,J.J. Bleday,Miami Marlins
Chrome,BDC-151,Ryan Costello,Minnesota Twins
Chrome,BDC-152,Tyler Fitzgerald,San Francisco Giants
Chrome,BDC-153,Spencer Steer,Minnesota Twins
Chrome,BDC-154,Jose Devers,Miami Marlins
Chrome,BDC-155,Blaze Alexander,Arizona Diamondbacks
Chrome,BDC-156,John Doxakis,Tampa Bay Rays
Chrome,BDC-157,Armani Smith,San Francisco Giants
Chrome,BDC-158,Jordyn Adams,Los Angeles Angels
Chrome,BDC-159,Sean Hjelle,San Francisco Giants
Chrome,BDC-160,Cristian Javier,Houston Astros
Chrome,BDC-161,Jared Triolo,Pittsburgh Pirates
Chrome,BDC-162,Alec Bohm,Philadelphia Phillies
Chrome,BDC-163,Jahmai Jones,Los Angeles Angels
Chrome,BDC-164,Deivi Garcia,New York Yankees
Chrome,BDC-165,Brennan Malone,Arizona Diamondbacks
Chrome,BDC-166,Cameron Cannon,Boston Red Sox
Chrome,BDC-167,Glenallen Hill Jr.,Arizona Diamondbacks
Chrome,BDC-168,Evan Edwards,Miami Marlins
Chrome,BDC-169,Shervyen Newton,New York Mets
Chrome,BDC-170,Travis Swaggerty,Pittsburgh Pirates
Chrome,BDC-171,Anthony Seigler,New York Yankees
Chrome,BDC-172,Evan White,Seattle Mariners
Chrome,BDC-173,Luken Baker,St. Louis Cardinals
Chrome,BDC-174,Trejyn Fletcher,St. Louis Cardinals
Chrome,BDC-175,Spencer Brickhouse,Arizona Diamondbacks
Chrome,BDC-176,Daulton Varsho,Arizona Diamondbacks
Chrome,BDC-177,Hayden Wesneski,New York Yankees
Chrome,BDC-178,Chase Strumpf,Chicago Cubs
Chrome,BDC-179,Logan Gilbert,Seattle Mariners
Chrome,BDC-180,Joshua Mears,San Diego Padres
Chrome,BDC-181,Matt Vierling,Philadelphia Phillies
Chrome,BDC-182,Will Wilson,Los Angeles Angels
Chrome,BDC-183,Logan Driscoll,San Diego Padres
Chrome,BDC-184,Tyler Freeman,Cleveland Indians
Chrome,BDC-185,Ian Anderson,Atlanta Braves
Chrome,BDC-186,Owen Miller,San Diego Padres
Chrome,BDC-187,Kody Hoese,Los Angeles Dodgers
Chrome,BDC-188,Grant Lavigne,Colorado Rockies
Chrome,BDC-189,Nick Lodolo,Cincinnati Reds
Chrome,BDC-190,Clarke Schmidt,New York Yankees
Chrome,BDC-191,Erik Miller,Philadelphia Phillies
Chrome,BDC-192,Seth Beer,Arizona Diamondbacks
Chrome,BDC-193,Alejandro Kirk,Toronto Blue Jays
Chrome,BDC-194,Drey Jameson,Arizona Diamondbacks
Chrome,BDC-195,Christian Cairo,Cleveland Indians
Chrome,BDC-196,Kameron Misner,Miami Marlins
Chrome,BDC-197,Tommy Henry,Arizona Diamondbacks
Chrome,BDC-198,Lazaro Armenteros,Oakland Athletics
Chrome,BDC-199,Kendall Williams,Toronto Blue Jays
Chrome,BDC-200,Cooper Johnson,Detroit Tigers
Chrome Image Variations,BDC-1,Adley Rutschman,Baltimore Orioles
Chrome Image Variations,BDC-3,Alek Manoah,Toronto Blue Jays
Chrome Image Variations,BDC-7,Josh Jung,Texas Rangers
Chrome Image Variations,BDC-31,Hunter Bishop,San Francisco Giants
Chrome Image Variations,BDC-50,Riley Greene,Detroit Tigers
Chrome Image Variations,BDC-67,Shea Langeliers,Atlanta Braves
